id,payment_id,transaction_type,charge_id,invoice_id,transaction_id,payment_method,payment_time,total_price,tax,subtotal_price,charge_items,tax_lines,installment_months,currency,address
1ZDGIitOMNQ,1ZDGIitOMNQ,CHARGE,1XZpvcB2D0m-01,1XZpvcB2D0m-2024-12,123,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":1.2,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":1.2,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.295627Z"",""chargeItemId"":""1ZB0vd5LM8y-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.936097Z"",""chargeItemId"":""1XZpvcB2D0m-01-1ZBOzgoJmOC""}]",[],,USD,"{""firstName"" : ""Giang"", ""lastName"" : ""Test"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""0123456789"", ""state"" : ""Texas"", ""city"" : ""Houston"", ""address1"" : ""Houston"", ""address2"" : ""abc"", ""zipcode"" : ""77069""}"
1ZDSuE39ZBr,1ZDSuE39ZBr,CHARGE,1XZpvcB2D0m-02,1XZpvcB2D0m-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":40.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":40.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.295691Z"",""chargeItemId"":""1ZB0vd5LM90-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTBjyOnfY,1ZDTBjyOnfY,CHARGE,0105431300037-0101-30000A-01,0105431300037-0101-30000A-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":26.8,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":26.8,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T03:25:19.862341Z"",""chargeItemId"":""1ZB5oiu5CRZ-01""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTIzFEZfD,1ZDTIzFEZfD,CHARGE,1XZMH4UzS1r-02,1XZMH4UzS1r-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTXsONVZf,1ZDTXsONVZf,CHARGE,1XZWwW7KqeI-01,1XZWwW7KqeI-2024-12,gid://shopify/OrderTransaction/73336548887261,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTbMKelVV,1ZDTbMKelVV,CHARGE,1XZWwW7KqeI-02,1XZWwW7KqeI-2024-12,gid://shopify/OrderTransaction/73336548887261,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTixIEIgk,1ZDTixIEIgk,CHARGE,1XZWrswfaaP-01,1XZWrswfaaP-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":44.06,""priceDetail"":{""discountPrice"":4.9,""itemPrice"":48.96,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""7.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:15.031444Z"",""chargeItemId"":""1ZB0x5RShUU-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.985305Z"",""chargeItemId"":""1XZWrswfaaP-01-1ZBOzgoJmOE""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDTtuCpspo,1ZDTtuCpspo,CHARGE,1XZWrswfaaP-02,1XZWrswfaaP-2024-12,gid://shopify/OrderTransaction/73336548887261,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDU38hynmu,1ZDU38hynmu,CHARGE,1XZMMkqRZf6-01,1XZMMkqRZf6-2024-12,gid://shopify/OrderTransaction/73336548887261,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
1ZDUASN1tns,1ZDUASN1tns,CHARGE,1XZMMkqRZf6-02,1XZMMkqRZf6-2024-12,gid://shopify/OrderTransaction/7333654888726,PAYPAL,2024-08-28 09:44:48.000000,6.2000,0.0000,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":21.6,""priceDetail"":{""discountPrice"":2.4,""itemPrice"":24.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""2.40"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:05.854286Z"",""chargeItemId"":""1ZB0wPQXqgd-02""}]",[],,USD,"{""firstName"" : ""Dao"", ""lastName"" : ""Nguyen"", ""email"" : ""t2404181@partner.coway.com"", ""phone"" : ""6028672690"", ""state"" : ""Texas"", ""city"" : ""Wylie"", ""address1"" : ""Ha Noi"", ""address2"" : ""American"", ""zipcode"" : ""75098""}"
