id,payment_id,transaction_type,order_id,transaction_id,payment_method,payment_time,currency,total_price,tax,subtotal_price,item_price,discount_price,prepaid_amount,registration_price,promotions,tax_lines,address,refund,update_time
e29712f4a830,1a0cN6tl7YL,CHARGE,0105500900029,7112153366744,CREDIT_CARD,2025-01-09 04:28:04.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,"[{""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0cN6tl7YL"", ""id"" : ""1a0cN6tl7YN""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 84.38, ""paymentId"" : ""1a0cN6tl7YL"", ""id"" : ""1a0cN6tl7YM""}, {""title"" : ""Harris Co Emergency Services District 29 Sp"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0cN6tl7YL"", ""id"" : ""1a0cN6tl7YO""}]","{""firstName"" : ""Nhung"", ""lastName"" : ""VuHai"", ""email"" : ""nhungvu591998+2@gmail.com"", ""phone"" : ""+821035348697"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""test"", ""address2"" : ""test2"", ""zipcode"" : ""77069""}",[],2025-01-09 05:26:01.689952
7ef6c99ce083,1a0lw8iBt3U,CHARGE,0105500900032,7112281522392,CREDIT_CARD,2025-01-09 06:41:53.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,"[{""title"" : ""Harris Co Emergency Services District 29 Sp"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0lw8iBt3U"", ""id"" : ""1a0lw8iTUBb""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 84.38, ""paymentId"" : ""1a0lw8iBt3U"", ""id"" : ""1a0lw8iTUBZ""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0lw8iBt3U"", ""id"" : ""1a0lw8iTUBa""}]","{""firstName"" : ""Nhung"", ""lastName"" : ""VuHai"", ""email"" : ""nhungvu591998+2@gmail.com"", ""phone"" : ""+821035348697"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""123"", ""address2"" : ""456"", ""zipcode"" : ""77069""}",[],2025-01-09 06:56:57.204750
d71bb5c81876,1a0z7Wj52pl,CHARGE,0105500900057,6970761642169,CREDIT_CARD,2025-01-09 09:46:06.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,"[{""title"" : ""Houston City Tax"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0z7Wj52pl"", ""id"" : ""1a0z7Wj52pn""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 84.38, ""paymentId"" : ""1a0z7Wj52pl"", ""id"" : ""1a0z7Wj52pm""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a0z7Wj52pl"", ""id"" : ""1a0z7Wj52po""}]","{""firstName"" : ""Tung"", ""lastName"" : ""Nguyen"", ""email"" : ""nttung1211@gmail.com"", ""phone"" : ""9722614900"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""a1"", ""address2"" : ""a2"", ""zipcode"" : ""77002""}",[],2025-01-09 09:50:50.708427
3704831d9ce7,1a2CujrkgzD,CHARGE,0105501000040,6971569701049,CREDIT_CARD,2025-01-10 03:26:36.000000,USD,971.99,91.99,880.00,1115.00,235.00,0.00,0.00,,"[{""title"" : ""Houston City Tax"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2CujrkgzD"", ""id"" : ""1a2CujrkgzF""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 69.69, ""paymentId"" : ""1a2CujrkgzD"", ""id"" : ""1a2CujrkgzE""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2CujrkgzD"", ""id"" : ""1a2CujrkgzG""}]","{""firstName"" : ""Nhung"", ""lastName"" : ""VuHai"", ""email"" : ""nhungvu591998+2@gmail.com"", ""phone"" : ""+821035348697"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""test2"", ""address2"" : ""test2222"", ""zipcode"" : ""77021""}",[],2025-01-10 04:52:23.162972
ce398485706c,1a2DJQ2AZc5,CHARGE,0105501000042,6971574550713,CREDIT_CARD,2025-01-10 03:32:11.000000,USD,971.99,91.99,880.00,1115.00,235.00,0.00,0.00,,"[{""title"" : ""Houston City Tax"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2DJQ2AZc5"", ""id"" : ""1a2DJQ2AZc7""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 69.69, ""paymentId"" : ""1a2DJQ2AZc5"", ""id"" : ""1a2DJQ2AZc6""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2DJQ2AZc5"", ""id"" : ""1a2DJQ2AZc8""}]","{""firstName"" : ""Nhung"", ""lastName"" : ""VuBa"", ""email"" : ""nhungvu591998+3@gmail.com"", ""phone"" : ""+12312322334"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""test"", ""address2"" : ""tututututt"", ""zipcode"" : ""77021""}",[],2025-01-10 05:04:28.506830
57cf51d9af12,1a2h7D0lHQa,CHARGE,0105501000075,6971829027001,CREDIT_CARD,2025-01-10 10:29:34.000000,USD,2915.96,275.96,2640.00,3345.00,705.00,0.00,0.00,,"[{""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 33.45, ""paymentId"" : ""1a2h7D0lHQa"", ""id"" : ""1a2h7D0lHQd""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 209.06, ""paymentId"" : ""1a2h7D0lHQa"", ""id"" : ""1a2h7D0lHQb""}, {""title"" : ""Houston City Tax"", ""rate"" : 0.0100, ""price"" : 33.45, ""paymentId"" : ""1a2h7D0lHQa"", ""id"" : ""1a2h7D0lHQc""}]","{""firstName"" : ""Giang"", ""lastName"" : ""Test"", ""email"" : ""giangthy93@gmail.com"", ""phone"" : ""+12312322334"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""test"", ""address2"" : ""test"", ""zipcode"" : ""77021""}",[],2025-01-10 11:05:20.235036
1e148dd9a30d,1a2jXIekzJH,CHARGE,0105501000078,7114050896088,CREDIT_CARD,2025-01-10 11:03:45.000000,USD,2922.75,222.75,2700.00,2700.00,0.00,0.00,0.00,,"[{""title"" : ""Harris Co Emergency Services District 29 Sp"", ""rate"" : 0.0100, ""price"" : 27.00, ""paymentId"" : ""1a2jXIekzJH"", ""id"" : ""1a2jXIf2aRO""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 168.75, ""paymentId"" : ""1a2jXIekzJH"", ""id"" : ""1a2jXIf2aRM""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 27.00, ""paymentId"" : ""1a2jXIekzJH"", ""id"" : ""1a2jXIf2aRN""}]","{""firstName"" : ""Thu"", ""lastName"" : ""Thuy"", ""email"" : ""thuy.nguyen7@ntq-solution.com.vn"", ""phone"" : ""+12312322334"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""yyyyyy"", ""address2"" : ""ytytytyty"", ""zipcode"" : ""77069""}",[],2025-01-10 11:41:17.650067
626460d97984,1a2k5rGVnKR,CHARGE,0105501000079,7114057122008,CREDIT_CARD,2025-01-10 11:11:31.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,"[{""title"" : ""Harris Co Emergency Services District 29 Sp"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a2k5rGVnKR"", ""id"" : ""1a2k5rGVnKU""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 84.38, ""paymentId"" : ""1a2k5rGVnKR"", ""id"" : ""1a2k5rGVnKS""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 13.50, ""paymentId"" : ""1a2k5rGVnKR"", ""id"" : ""1a2k5rGVnKT""}]","{""firstName"" : ""Thu"", ""lastName"" : ""Thuy"", ""email"" : ""thuy.nguyen7@ntq-solution.com.vn"", ""phone"" : ""+12312322334"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""ssgfgfg"", ""address2"" : ""dfgfgfđg"", ""zipcode"" : ""77069""}",[],2025-01-10 11:56:42.967484
29e84fd3e87c,1a2KTpq28wW,CHARGE,0105501000054,7113724559576,CREDIT_CARD,2025-01-10 05:13:02.000000,USD,971.99,91.99,880.00,1115.00,235.00,0.00,0.00,,"[{""title"" : ""Harris Co Emergency Services District 29 Sp"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2KTpq28wW"", ""id"" : ""1a2KTpq28wZ""}, {""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 69.69, ""paymentId"" : ""1a2KTpq28wW"", ""id"" : ""1a2KTpq28wX""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 11.15, ""paymentId"" : ""1a2KTpq28wW"", ""id"" : ""1a2KTpq28wY""}]","{""firstName"" : ""Yang"", ""lastName"" : ""Jihee"", ""email"" : ""yangji@coway.com"", ""phone"" : ""+821083369298"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""fffffff"", ""address2"" : ""dsdddd"", ""zipcode"" : ""77069""}",[],2025-01-10 06:28:42.978605
c61648b667a7,1a2ToHEO0Yu,CHARGE,0105501000060,6971718140089,CREDIT_CARD,2025-01-10 07:23:24.000000,USD,2922.76,222.76,2700.00,2700.00,0.00,0.00,0.00,,"[{""title"" : ""Texas State Tax"", ""rate"" : 0.0625, ""price"" : 168.76, ""paymentId"" : ""1a2ToHEO0Yu"", ""id"" : ""1a2ToHEO0Yv""}, {""title"" : ""Houston Mta Transit"", ""rate"" : 0.0100, ""price"" : 27.00, ""paymentId"" : ""1a2ToHEO0Yu"", ""id"" : ""1a2ToHEO0Yx""}, {""title"" : ""Houston City Tax"", ""rate"" : 0.0100, ""price"" : 27.00, ""paymentId"" : ""1a2ToHEO0Yu"", ""id"" : ""1a2ToHEO0Yw""}]","{""firstName"" : ""Nhung"", ""lastName"" : ""VuBa"", ""email"" : ""nhungvu591998+3@gmail.com"", ""phone"" : ""+12312322334"", ""state"" : ""TX"", ""city"" : ""Houston"", ""address1"" : ""test"", ""address2"" : ""test"", ""zipcode"" : ""77021""}",[],2025-01-10 07:25:55.870954
