id,payment_id,transaction_type,order_id,transaction_id,payment_method,payment_time,currency,total_price,tax,subtotal_price,item_price,discount_price,prepaid_amount,registration_price,promotions,tax_lines,address,refund,update_time
1awrOuVjvFn,1awrOuOdwzy,CHARGE,0105504400006,7171405250776,CREDIT_CARD,2025-02-13 06:39:45.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Hanh"", ""lastName"": ""Nguyen"", ""email"": ""hanh.nguyen17+121@ntq-solution.com.vn"", ""phone"": ""+84987654321"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""3333 Raleigh St"", ""address2"": ""Houston, TX 77021, USA"", ""zipcode"": ""77021""}",,2025-02-13 06:40:12.792893
1awskabzR5A,1awrOuOdwzy,CHARGE,0105504400006,7171405250776,CREDIT_CARD,2025-02-13 06:39:45.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Hanh"", ""lastName"": ""Nguyen"", ""email"": ""hanh.nguyen17+121@ntq-solution.com.vn"", ""phone"": ""+84987654321"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""3333 Raleigh St"", ""address2"": ""Houston, TX 77021, USA"", ""zipcode"": ""77021""}",{},2025-02-13 06:59:05.994069
1ax9dNs9eue,1ax9dNRkxoT,CHARGE,0105504400009,7171615523032,CREDIT_CARD,2025-02-13 10:54:49.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""jihun"", ""lastName"": ""jeon"", ""email"": ""jhjeon@coway.com"", ""phone"": ""12345678111"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""12822 Crow Valley Ln, Houston, TX 77099, USA"", ""address2"": ""fsdf"", ""zipcode"": ""77099""}",,2025-02-13 10:55:21.930019
1ax9euuN33Q,1ax9dNRkxoT,CHARGE,0105504400009,7171615523032,CREDIT_CARD,2025-02-13 10:54:49.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""jihun"", ""lastName"": ""jeon"", ""email"": ""jhjeon@coway.com"", ""phone"": ""12345678111"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""12822 Crow Valley Ln, Houston, TX 77099, USA"", ""address2"": ""fsdf"", ""zipcode"": ""77099""}",{},2025-02-13 10:55:42.685262
1ayMNtdYtxq,1ayMNtZs7Gp,CHARGE,0105504500008,7011602366649,CREDIT_CARD,2025-02-14 04:20:48.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Tung"", ""lastName"": ""Nguyen"", ""email"": ""tung.nguyen16+3@ntq-solution.com.vn"", ""phone"": ""6024213544"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""3333 raleigh st."", ""address2"": ""3333 raleigh st."", ""zipcode"": ""77021""}",,2025-02-14 04:21:23.569459
1ayOjKGrEoT,1ayOjKDAS7S,CHARGE,0105504500009,7011626811577,CREDIT_CARD,2025-02-14 04:53:49.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Tung"", ""lastName"": ""Nguyen"", ""email"": ""tung.nguyen16+3@ntq-solution.com.vn"", ""phone"": ""6024213544"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""2301 Westside Dr"", ""address2"": ""23"", ""zipcode"": ""77021""}",,2025-02-14 04:54:13.007574
1aycO8ei4Ld,1aycO8bs52f,CHARGE,0105504500019,7011766665401,CREDIT_CARD,2025-02-14 08:04:59.000000,USD,2922.75,222.75,2700.00,2700.00,0.00,0.00,0.00,,{},"{""firstName"": ""hanh"", ""lastName"": ""nguyen"", ""email"": ""hanh.nguyen17+122@ntq-solution.com.vn"", ""phone"": ""+821035348697"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""3333 raleigh st."", ""address2"": ""Houston, TX 77021, USA"", ""zipcode"": ""77021""}",,2025-02-14 08:05:20.740447
1aydFQEfhbT,1aydFQC7JQZ,CHARGE,0105504500020,7011790880953,CREDIT_CARD,2025-02-14 08:16:46.000000,USD,6213.55,473.55,5740.00,5740.00,0.00,0.00,0.00,,{},"{""firstName"": ""hanh"", ""lastName"": ""nguyen"", ""email"": ""hanh.nguyen17+122@ntq-solution.com.vn"", ""phone"": ""+821035348697"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""add1"", ""address2"": ""add2"", ""zipcode"": ""77021""}",,2025-02-14 08:17:22.318530
1ayKeowsBxN,1ayKeos30k6,CHARGE,0105504500007,7011584278713,CREDIT_CARD,2025-02-14 03:56:39.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Tung"", ""lastName"": ""Nguyen"", ""email"": ""tung.nguyen16+3@ntq-solution.com.vn"", ""phone"": ""6024213544"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""hh"", ""address2"": ""3333 raleigh st."", ""zipcode"": ""77021""}",,2025-02-14 03:57:13.525894
1awrOuS38Yv,1awrOuOdwzy,CHARGE,0105504400006,7171405250776,CREDIT_CARD,2025-02-13 06:39:45.000000,USD,1461.38,111.38,1350.00,1350.00,0.00,0.00,0.00,,{},"{""firstName"": ""Hanh"", ""lastName"": ""Nguyen"", ""email"": ""hanh.nguyen17+121@ntq-solution.com.vn"", ""phone"": ""+84987654321"", ""state"": ""TX"", ""city"": ""Houston"", ""address1"": ""3333 Raleigh St"", ""address2"": ""Houston, TX 77021, USA"", ""zipcode"": ""77021""}",,2025-02-13 06:40:12.780858
