id,charge_id,invoice_id,payment_method,transaction_id,payment_time,last_name,first_name,address1,address2,zipcode,city,state,phone,email,remark,total_price,charge_items,card_number,card_type,installment_months,currency,payout_id,tax,tax_lines
1ZDGIitOMNQ,1XZpvcB2D0m-01,1XZpvcB2D0m-2024-12,PAYPAL,123,2024-08-28 09:44:48.000000,Test,Giang,Houston,abc,77069,Houston,Texas,0123456789,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":1.2,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":1.2,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.295627Z"",""chargeItemId"":""1ZB0vd5LM8y-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.936097Z"",""chargeItemId"":""1XZpvcB2D0m-01-1ZBOzgoJmOC""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDSuE39ZBr,1XZpvcB2D0m-02,1XZpvcB2D0m-2024-12,PAYPAL,gid://shopify/OrderTransaction/7333654888726,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":40.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":40.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:16:55.295691Z"",""chargeItemId"":""1ZB0vd5LM90-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTBjyOnfY,0105431300037-0101-30000A-01,0105431300037-0101-30000A-2024-12,PAYPAL,gid://shopify/OrderTransaction/7333654888726,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":26.8,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":26.8,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T03:25:19.862341Z"",""chargeItemId"":""1ZB5oiu5CRZ-01""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTIzFEZfD,1XZMH4UzS1r-02,1XZMH4UzS1r-2024-12,PAYPAL,gid://shopify/OrderTransaction/7333654888726,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTXsONVZf,1XZWwW7KqeI-01,1XZWwW7KqeI-2024-12,PAYPAL,gid://shopify/OrderTransaction/73336548887261,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTbMKelVV,1XZWwW7KqeI-02,1XZWwW7KqeI-2024-12,PAYPAL,gid://shopify/OrderTransaction/73336548887261,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTixIEIgk,1XZWrswfaaP-01,1XZWrswfaaP-2024-12,PAYPAL,gid://shopify/OrderTransaction/7333654888726,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":44.06,""priceDetail"":{""discountPrice"":4.9,""itemPrice"":48.96,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""7.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:15.031444Z"",""chargeItemId"":""1ZB0x5RShUU-01""},{""chargeItemType"":""LATE_FEE"",""totalPrice"":5.0,""priceDetail"":{""discountPrice"":0.0,""itemPrice"":5.0,""currency"":""USD"",""prepaidAmount"":0.0},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T07:53:53.985305Z"",""chargeItemId"":""1XZWrswfaaP-01-1ZBOzgoJmOE""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDTtuCpspo,1XZWrswfaaP-02,1XZWrswfaaP-2024-12,PAYPAL,gid://shopify/OrderTransaction/73336548887261,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDU38hynmu,1XZMMkqRZf6-01,1XZMMkqRZf6-2024-12,PAYPAL,gid://shopify/OrderTransaction/73336548887261,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":28.8,""priceDetail"":{""discountPrice"":3.2,""itemPrice"":32.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""3.20"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:12.433243Z"",""chargeItemId"":""1ZB0wtY0pvO-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
1ZDUASN1tns,1XZMMkqRZf6-02,1XZMMkqRZf6-2024-12,PAYPAL,gid://shopify/OrderTransaction/7333654888726,2024-08-28 09:44:48.000000,Nguyen,Dao,Ha Noi,American,75098,Wylie,Texas,6028672690,t2404181@partner.coway.com,,6.2000,"[{""chargeItemType"":""RENTAL_FEE"",""totalPrice"":21.6,""priceDetail"":{""discountPrice"":2.4,""itemPrice"":24.0,""currency"":""USD"",""prepaidAmount"":0.0,""promotions"":[{""promotionId"":""1SUGW59ZHC0"",""promotionName"":""프로모션2"",""promotionDescription"":""10% Coupon discount "",""startDate"":""2023-09-20T11:13:12.646Z"",""endDate"":""2024-12-20T11:13:12.646Z"",""discountPrice"":""2.40"",""promotion"":{""promotionCycles"":[""1"",""2"",""3"",""4"",""5"",""6""],""promotionType"":""DISCOUNT"",""discount"":{""discountType"":""PERCENTAGE"",""amount"":0.0,""rate"":10.0}}}]},""quantity"":1,""isTaxExempt"":false,""createTime"":""2024-12-09T02:17:05.854286Z"",""chargeItemId"":""1ZB0wPQXqgd-02""}]",**** **** **** 1117,PAYPAL,,USD,,0.0000,
