id,contract_id,channel_contract_id,customer_id,order_item_id,revision,file_url,create_time,update_time,mapping_data
1VfwjBHbzeE,1VdJQjYcKDB,gid://shopify/SubscriptionContract/15381201174,d294cc633b0ebd593b0b4b1fba1e6eb4,0105421100136-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/07/rucbjlu9zwohpipqmexre9ju1uamkssx.html,2024-07-31 07:27:43.873671,2024-07-31 07:27:43.873672,
1Vfwp12OxmC,1VdK0GwCint,gid://shopify/SubscriptionContract/15381299478,d294cc633b0ebd593b0b4b1fba1e6eb4,0105421100137-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/07/hn9lwlwabq7ygtoz0ucosd8syeehnwlw.html,2024-07-31 07:29:02.641415,2024-07-31 07:29:02.641416,
1VfwtXZsy2d,1VdK0GwCinv,gid://shopify/SubscriptionContract/15381332246,d294cc633b0ebd593b0b4b1fba1e6eb4,0105421100137-0201,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/07/8x7g9vrx8q3nurm4eylwepb9rrdhjjtl.html,2024-07-31 07:30:03.573327,2024-07-31 07:30:03.573328,
1Vfww73KSpl,1VdK0GwCinx,gid://shopify/SubscriptionContract/15381365014,d294cc633b0ebd593b0b4b1fba1e6eb4,0105421100137-0301,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/07/yzln51vo1yrmnoveel4y6tr3ppmbje03.html,2024-07-31 07:30:38.283944,2024-07-31 07:30:38.283945,
1VjGdUdEj42,1Us1tYAHpH2,contract-100117198123832853,628eee206b3b3a3dcf41c7305e748048,0105418300024-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/tvo6aqr6wmb51mmqkhzf5uhe4uks94r3.html,2024-08-02 07:29:08.601076,2024-08-02 07:29:08.601077,
1VjI6X6B3Y1,1UtwrLst9lI,contract-100117199122689673,86a789bccf5e84d21da15ecc0f871f9a,0105418400078-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/vdehgjxfclfalenvftwz2upm6aldjqgt.html,2024-08-02 07:49:41.148764,2024-08-02 07:49:41.148765,
1VjI841a4Ug,1Utwqv5DMIQ,contract-100117199122632482,60306954037a93628cbcde4d9257fab0,0105418400077-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/c5dno3em4oovvaczdhpninpq9gf1ui1y.html,2024-08-02 07:50:01.113916,2024-08-02 07:50:01.113917,
1VjI9QAVk7f,1UtwqV06aFu,contract-100117199122574130,62d22d187a1093b06a34c180dd4f082b,0105418400076-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/rbxybgzoyv0iqbfgaamshis4tvidsvff.html,2024-08-02 07:50:19.527832,2024-08-02 07:50:19.527833,
1VjIAll8J7K,1Utwq14qM51,contract-100117199122501023,5633e8c5ce5e9a6d8079ea3a2c65ba76,0105418400075-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/j15eppiobruftaxtrqsuexyds7mztczd.html,2024-08-02 07:50:37.870708,2024-08-02 07:50:37.870710,
1VjIC3QhWXl,1UtwpRUAisU,contract-100117199122431500,ad2e4e1c6cc6ab0d730c9d44eab879af,0105418400074-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/ckm0tkvv3ciqobdyzihvdkailvf2ynoa.html,2024-08-02 07:50:55.198917,2024-08-02 07:50:55.198918,
1VjIDMd77X1,1Utwp4mGJhW,contract-100117199122382114,17e047fee7bf2244ea07f17d89659364,0105418400073-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/on3ahymuwpl7qxemnstvh7jpszo0c2h2.html,2024-08-02 07:51:12.863719,2024-08-02 07:51:12.863720,
1VjIEib0nBA,1Utwog6qlDl,contract-100117199122327362,24b79ca286e2e6a93ecea95e918c96e1,0105418400072-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/pifzmdjziio10sczcnax6vtkhq32lugq.html,2024-08-02 07:51:31.197428,2024-08-02 07:51:31.197428,
1VjIG1RFJuu,1UtwoInBhjo,contract-100117199122277162,e0686708fed6e27130232db698407a5a,0105418400071-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/vnfonhnwo6krqmxvku6f751x4cwciksl.html,2024-08-02 07:51:48.867063,2024-08-02 07:51:48.867064,
1VjIHNvDfGY,1UtwntAC3Ej,contract-100117199122221313,5a5530b5e4b07a0300e6dedb48eda664,0105418400070-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/c0vdmvalc275ru4gttiqrfqzkfrgxlud.html,2024-08-02 07:52:07.305473,2024-08-02 07:52:07.305474,
1VjIIfm8ptk,1UtwnUmg3aD,contract-100117199122167654,dbcd8cf19695d89485512b9904df3b9e,0105418400069-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/odmudwgzxudmil5flnfshn1alkojoezy.html,2024-08-02 07:52:24.769526,2024-08-02 07:52:24.769527,
1VjIK5H8TsD,1Utwn51QN0W,contract-100117199122113671,b82138e0b72bbec45b5c00c2990ad218,0105418400068-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/bw6r024bixseowcpgnrhlhjl4zmqywrq.html,2024-08-02 07:52:43.849556,2024-08-02 07:52:43.849558,
1VjILPDFUoH,1UtwmdFZbyC,contract-100117199122032413,53c72c3fb04fc3e6acc6b3ab01c7c17a,0105418400067-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/kuzx6mhzowuphblsutveonoivdfvttgi.html,2024-08-02 07:53:01.764764,2024-08-02 07:53:01.764765,
1VpgR2Zvy5d,1Vo1EbPjDRY,contract-100117228310970063,21098ceee5b75e0e3c8e9527ca942f32,0105421800122-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/c7n6lbsiefosrwdrtzlg4wokaacqsrpl.html,2024-08-06 04:15:47.716880,2024-08-06 04:15:47.716881,
1Vpga5B8fGg,1Vo2VdjHEhY,contract-100117228321678843,74aa52c8cf811195f51d1bc4ee238040,0105421800154-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/mbwkyp5lyi9xtygssbdm4tpimy4es3u4.html,2024-08-06 04:17:49.341073,2024-08-06 04:17:49.341073,
1VpgfWBXGCu,1VoWSKhi2y3,gid://shopify/SubscriptionContract/15401025814,adbd61bbb9a0636b478e4b5c95fcea1b,0105421800207-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/u4h8pgxdzwks5yqofsjxzprggv0jlqca.html,2024-08-06 04:19:04.202243,2024-08-06 04:19:04.202244,
1VrRdHIEZQ9,1VpUXi6QWk3,contract-100117229077612891,54bcde6aec2f6dc8701c7d2450f77168,0105421900003-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/qryy6ateebixlrlrpptbwcxyg3cnydzg.html,2024-08-07 05:43:51.121086,2024-08-07 05:43:51.121086,
1VsnhxlQkw1,1Vr4bifFsTu,contract-100117229900983183,178e3406fb4e797d9c7e6e99ab411cd5,0105422000027-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/sr59qvffqdzpm8kde8egof1w8nmzwehh.html,2024-08-08 01:20:22.573071,2024-08-08 01:20:22.573072,
1VsnillWPty,1Vr4c7LEBA4,contract-100117229901038192,544d206cd16080a5e0ddf8733eea9125,0105422000036-0101,0,https://pub-cdn.abc.coway.com/abc-contract-template/2024/08/tbtkvds3zgeyg9kslexrshhjo3gor5vv.html,2024-08-08 01:20:34.134036,2024-08-08 01:20:34.134037,
