id,contract_id,payment_method,transaction_id,monthly_total_price,monthly_discount_price,subscription_payment_day,last_name,first_name,address1,address2,zipcode,city,state,phone,email,card_number,card_type,item_monthly_price,monthly_tax,currency
1UnEeTbO3On,1UnEeTb6SGi,CREDIT_CARD,,36.00,4.00,10,Walsh,Leana,655 Tish Flats,Apt. 209,77007,Houston,TX,1-630-406-7372,rey.fritsch@yahoo.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEla6EFyP,1UnEla6EFyO,CREDIT_CARD,,36.00,4.00,10,Hudson,Augustine,64753 Landon Ridges,Suite 756,77014,Houston,TX,813.724.3489,everette.will@gmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEm2nzBfe,1UnEm2nzBfd,CREDIT_CARD,,36.00,4.00,10,Frami,Yuonne,53541 Leannon Rapids,Apt. 900,77009,Houston,TX,(510) 330-3962,ramiro.reilly@gmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEmRGwq3S,1UnEmRGwq3R,CREDIT_CARD,,36.00,4.00,10,Hahn,Lee,41887 Elijah Manor,Apt. 702,77003,Houston,TX,(956) 337-5687,mckinley.fahey@hotmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEmsGXmyr,1UnEmsGXmyq,CREDIT_CARD,,36.00,4.00,10,Sipes,Quentin,9535 Terrence Inlet,Suite 197,77007,Houston,TX,517.331.3820,matha.hackett@yahoo.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEnIDw7I5,1UnEnIDw7I4,CREDIT_CARD,,36.00,4.00,10,Borer,Ashly,939 Sherron Crescent,Apt. 966,77007,Houston,TX,(757) 520-0492,kelsey.romaguera@hotmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEng6qi6S,1UnEng6qi6R,CREDIT_CARD,,36.00,4.00,10,Brakus,Detra,580 Strosin Oval,Suite 682,77005,Houston,TX,224.763.0103,shila.hyatt@gmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEo4oEcrT,1UnEo4oEcrS,CREDIT_CARD,,36.00,4.00,10,Carter,Russ,976 Russel Motorway,Apt. 313,77007,Houston,TX,302.954.7469,gregory.nader@hotmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEoQgiMHB,1UnEoQgiMHA,CREDIT_CARD,,36.00,4.00,10,Huels,Charles,15574 Flatley Mount,Apt. 852,77003,Houston,TX,985-254-4001,dominick.erdman@yahoo.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEonuz2Hs,1UnEonuz2Hr,CREDIT_CARD,,36.00,4.00,10,Medhurst,Dexter,4006 Huels Viaduct,Suite 720,77016,Houston,TX,(623) 704-2945,justa.abernathy@yahoo.com,3333-33**-****-****,VISA,40.00,0.00,USD
1UnEp9weUGX,1UnEp9weUGW,CREDIT_CARD,,36.00,4.00,10,Beahan,Danelle,806 Chauncey Corners,Suite 412,77015,Houston,TX,786.860.6001,sunny.zulauf@gmail.com,3333-33**-****-****,VISA,40.00,0.00,USD
