id,order_item_id,address1,address2,zipcode,city,state,serial_number,latitude,longitude,installation_time,create_time,update_time,technician_id,service_flow_id,warranty_start_time,warranty_end_time,branch_id,warehouse_id,water_type
1UnEeXnxooe,0105418000001-0101,655 Tish Flats,Apt. 209,77007,Houston,TX,,29.634654,-95.624143,,2024-06-28 08:20:14.720,2024-06-28 08:20:14.720,,1UnEeTp0ndv,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnElcfkp5I,0105418000002-0101,64753 Landon Ridges,Suite 756,77014,Houston,TX,,29.627708,-95.397665,,2024-06-28 08:21:50.581,2024-06-28 08:21:50.581,,1UnElaH10ut,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEm3Tzovp,0105418000003-0101,53541 Leannon Rapids,Apt. 900,77009,Houston,TX,,29.718642,-95.556353,,2024-06-28 08:21:56.433,2024-06-28 08:21:56.433,,1UnEm2qXZqG,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEmT4mnJL,0105418000004-0101,41887 Elijah Manor,Apt. 702,77003,Houston,TX,,29.571647,-95.812677,,2024-06-28 08:22:02.023,2024-06-28 08:22:02.023,,1UnEmRJDd60,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEmtASlc2,0105418000005-0101,9535 Terrence Inlet,Suite 197,77007,Houston,TX,,29.817294,-95.490059,,2024-06-28 08:22:07.722,2024-06-28 08:22:07.722,,1UnEmsIWytL,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEnIvvwSi,0105418000006-0101,939 Sherron Crescent,Apt. 966,77007,Houston,TX,,29.990309,-95.596168,,2024-06-28 08:22:13.350,2024-06-28 08:22:13.350,,1UnEnIFvJCZ,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEngyDIZ3,0105418000007-0101,580 Strosin Oval,Suite 682,77005,Houston,TX,,30.078253,-95.715331,,2024-06-28 08:22:18.600,2024-06-28 08:22:18.600,,1UnEng8pu0w,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEo5fsoS8,0105418000008-0101,976 Russel Motorway,Apt. 313,77007,Houston,TX,,29.668224,-95.582431,,2024-06-28 08:22:23.997,2024-06-28 08:22:23.997,,1UnEo4qDolx,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEoRIT0aO,0105418000009-0101,15574 Flatley Mount,Apt. 852,77003,Houston,TX,,30.124248,-95.386546,,2024-06-28 08:22:28.718,2024-06-28 08:22:28.718,,1UnEoQiPx3b,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEooTKV2J,0105418000010-0101,4006 Huels Viaduct,Suite 720,77016,Houston,TX,,29.770239,-95.154086,,2024-06-28 08:22:33.781,2024-06-28 08:22:33.781,,1UnEonwgd4I,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEpAnRsT0,0105418000011-0101,806 Chauncey Corners,Suite 412,77015,Houston,TX,,29.970542,-95.470602,,2024-06-28 08:22:38.658,2024-06-28 08:22:38.658,,1UnEp9ydgB1,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEpYJssnR,0105418000012-0101,45543 Lynette Lakes,Apt. 722,77003,Houston,TX,,30.022469,-95.744493,,2024-06-28 08:22:43.795,2024-06-28 08:22:43.795,,1UnEpXV4gVS,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnErbFeL3r,0105418000013-0101,045 Vicky View,Apt. 808,77009,Houston,TX,,29.585393,-95.692167,,2024-06-28 08:23:11.520,2024-06-28 08:23:11.520,,1UnEraam6K8,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEs25MbRs,0105418000014-0101,4444 Lynch Loop,Suite 153,77013,Houston,TX,,29.943854,-95.60851,,2024-06-28 08:23:17.381,2024-06-28 08:23:17.381,,1UnEs1AapQX,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEsP5iwEJ,0105418000015-0101,8608 Erdman Tunnel,Suite 401,77012,Houston,TX,,29.59608,-95.058958,,2024-06-28 08:23:22.406,2024-06-28 08:23:22.406,,1UnEsOGujwK,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEsoVL07g,0105418000016-0101,3051 Valorie Haven,Apt. 196,77010,Houston,TX,,30.099207,-95.653621,,2024-06-28 08:23:27.957,2024-06-28 08:23:27.957,,1UnEsnqSlNx,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEtBwNd0o,0105418000017-0101,950 Francisco Trace,Apt. 397,77005,Houston,TX,,29.567181,-95.194654,,2024-06-28 08:23:33.075,2024-06-28 08:23:33.075,,1UnEtBPAYmp,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEtZoxLUW,0105418000018-0101,529 Turcotte Well,Apt. 481,77013,Houston,TX,,29.85658,-95.489321,,2024-06-28 08:23:38.291,2024-06-28 08:23:38.291,,1UnEtZFBt5x,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEtx2NEJZ,0105418000019-0101,4964 Renato Drives,Apt. 901,77015,Houston,TX,,29.626179,-95.090943,,2024-06-28 08:23:43.364,2024-06-28 08:23:43.364,,1UnEtwRBmDI,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEuItUEGd,0105418000020-0101,2882 Hal Forest,Apt. 277,77014,Houston,TX,,30.013226,-95.800001,,2024-06-28 08:23:48.137,2024-06-28 08:23:48.137,,1UnEuIMHA2e,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEufvJqRZ,0105418000021-0101,852 John Ferry,Suite 661,77010,Houston,TX,,29.636644,-95.39818,,2024-06-28 08:23:53.167,2024-06-28 08:23:53.167,,1UnEuf6nFHe,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEv4zPfby,0105418000022-0101,345 Annalisa Freeway,Apt. 762,77011,Houston,TX,,29.566335,-95.590962,,2024-06-28 08:23:58.642,2024-06-28 08:23:58.642,,1UnEv4HPqRX,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEvTgEO75,0105418000023-0101,5080 Lesch Street,Suite 442,77015,Houston,TX,,29.731137,-95.822251,,2024-06-28 08:24:04.035,2024-06-28 08:24:04.035,,1UnEvStgyrc,,,10fea0f2db2c2001,1SSlmkCG5OV,
1UnEvq76rWJ,0105418000024-0101,840 Purdy Park,Suite 707,77012,Houston,TX,,30.079055,-95.25266,,2024-06-28 08:24:08.935,2024-06-28 08:24:08.935,,1UnEvpEtTfY,,,10fea0f2db2c2001,1SSlmkCG5OV,
