qbo_id,customer_id,company_code,customer_type,customer_status,channel_type,title_name,first_name,middle_name,last_name,family_name,name_suffix,fully_qualified_name,company_name,display_name,user_id,primary_phone,alternate_phone,mobile,fax,primary_email,alternate_email,web_addr,sync_token,submit_result,create_time,update_time,is_active
1910,d0a651277d7b2cacc5910e946debd9db,N200,1,0,,,NTQ,,Test,,,,,,hanh.nguyen17+5@ntq-solution.com.vn,+16029876543,,,,hanh.nguyen17+5@ntq-solution.com.vn,,,,"{""id"":""1910"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T03:56:36.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T03:56:36.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""NTQ"",""middleName"":null,""familyName"":""Test"",""suffix"":null,""fullyQualifiedName"":""d0a651277d7b2cacc5910e946debd9db"",""companyName"":null,""displayName"":""d0a651277d7b2cacc5910e946debd9db"",""printOnCheckName"":""INDIVIDUAL NTQ Test"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+16029876543"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""hanh.nguyen17+5@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 03:56:36.568394 +00:00,2025-01-05 03:56:36.568399 +00:00,Y
1911,d669fdc307c8372dc05d0b13554c007b,N200,1,0,,,Thu,,Thuy,,,,,,thuy.nguyen7@ntq-solution.com.vn,+1362677240,,,,thuy.nguyen7@ntq-solution.com.vn,,,,"{""id"":""1911"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T03:57:37.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T03:57:37.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""Thu"",""middleName"":null,""familyName"":""Thuy"",""suffix"":null,""fullyQualifiedName"":""d669fdc307c8372dc05d0b13554c007b"",""companyName"":null,""displayName"":""d669fdc307c8372dc05d0b13554c007b"",""printOnCheckName"":""INDIVIDUAL Thu Thuy"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+1362677240"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""thuy.nguyen7@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 03:57:36.686431 +00:00,2025-01-05 03:57:36.686435 +00:00,Y
1912,adbd61bbb9a0636b478e4b5c95fcea1b,N200,1,0,,,N***g,,V*,,,,,,nhung.vu@ntq-solution.com.vn,+8491***9991,,,,nhu*****@ntq-solution.com.vn,,,,"{""id"":""1912"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:40.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:40.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""N***g"",""middleName"":null,""familyName"":""V*"",""suffix"":null,""fullyQualifiedName"":""adbd61bbb9a0636b478e4b5c95fcea1b"",""companyName"":null,""displayName"":""adbd61bbb9a0636b478e4b5c95fcea1b"",""printOnCheckName"":""INDIVIDUAL N***g V*"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+8491***9991"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""nhu*****@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:40.094764 +00:00,2025-01-05 04:03:40.094768 +00:00,Y
1913,8dddc3c0df38f528d01edbb2e39ce0b1,N200,1,0,,,Hanh,,Nguyen,,,,,,hanh.nguyen17+121@ntq-solution.com.vn,+16029876543,,,,hanh.nguyen17+121@ntq-solution.com.vn,,,,"{""id"":""1913"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:41.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:41.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""Hanh"",""middleName"":null,""familyName"":""Nguyen"",""suffix"":null,""fullyQualifiedName"":""8dddc3c0df38f528d01edbb2e39ce0b1"",""companyName"":null,""displayName"":""8dddc3c0df38f528d01edbb2e39ce0b1"",""printOnCheckName"":""INDIVIDUAL Hanh Nguyen"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+16029876543"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""hanh.nguyen17+121@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:41.413432 +00:00,2025-01-05 04:03:41.413454 +00:00,Y
1914,c0da25f34f5235658e4fe2b62de7962e,N200,1,0,,,HongNhung,,Vu,,,,,,nhung.vu+2@ntq-solution.com.vn,+12312322334,,,,nhung.vu+2@ntq-solution.com.vn,,,,"{""id"":""1914"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:43.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:43.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""HongNhung"",""middleName"":null,""familyName"":""Vu"",""suffix"":null,""fullyQualifiedName"":""c0da25f34f5235658e4fe2b62de7962e"",""companyName"":null,""displayName"":""c0da25f34f5235658e4fe2b62de7962e"",""printOnCheckName"":""INDIVIDUAL HongNhung Vu"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+12312322334"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""nhung.vu+2@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:42.566814 +00:00,2025-01-05 04:03:42.566824 +00:00,Y
1915,c7593d3c026dddc5e3b4e12bad1c0dd6,N200,1,0,,,Kien,,Nguyen,,,,,,kien.nguyen10+1@ntq-solution.com.vn,12125551234,,,,kien.nguyen10+1@ntq-solution.com.vn,,,,"{""id"":""1915"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:44.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:44.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""Kien"",""middleName"":null,""familyName"":""Nguyen"",""suffix"":null,""fullyQualifiedName"":""c7593d3c026dddc5e3b4e12bad1c0dd6"",""companyName"":null,""displayName"":""c7593d3c026dddc5e3b4e12bad1c0dd6"",""printOnCheckName"":""INDIVIDUAL Kien Nguyen"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""12125551234"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""kien.nguyen10+1@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:43.589410 +00:00,2025-01-05 04:03:43.589416 +00:00,Y
1916,cdac0adf14cec88ca16be0ae72d7e1c7,N200,1,0,,,seohee,,jeong,,,,,,t2411550@partner.coway.com,12345678111,,,,t2411550@partner.coway.com,,,,"{""id"":""1916"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:45.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:45.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""seohee"",""middleName"":null,""familyName"":""jeong"",""suffix"":null,""fullyQualifiedName"":""cdac0adf14cec88ca16be0ae72d7e1c7"",""companyName"":null,""displayName"":""cdac0adf14cec88ca16be0ae72d7e1c7"",""printOnCheckName"":""INDIVIDUAL seohee jeong"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""12345678111"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""t2411550@partner.coway.com"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:44.822031 +00:00,2025-01-05 04:03:44.822042 +00:00,Y
1917,1a8bbb62a987d6e5ddd15d8d424408be,N200,1,0,,,Sendi,,Giangzz,,,,,,sendinguyen12@yopmail.com,+112125551234,,,,sendinguyen12@yopmail.com,,,,"{""id"":""1917"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:46.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:46.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""Sendi"",""middleName"":null,""familyName"":""Giangzz"",""suffix"":null,""fullyQualifiedName"":""1a8bbb62a987d6e5ddd15d8d424408be"",""companyName"":null,""displayName"":""1a8bbb62a987d6e5ddd15d8d424408be"",""printOnCheckName"":""INDIVIDUAL Sendi Giangzz"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""+112125551234"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""sendinguyen12@yopmail.com"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:45.874487 +00:00,2025-01-05 04:03:45.874494 +00:00,Y
1918,3e0a9c25d3db65e89076167027576dbf,N200,1,0,,,Ly,,PNT,,,,,,ly.pham1@ntq-solution.com.vn,6028672690,,,,ly.pham1@ntq-solution.com.vn,,,,"{""id"":""1918"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:47.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:47.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""Ly"",""middleName"":null,""familyName"":""PNT"",""suffix"":null,""fullyQualifiedName"":""3e0a9c25d3db65e89076167027576dbf"",""companyName"":null,""displayName"":""3e0a9c25d3db65e89076167027576dbf"",""printOnCheckName"":""INDIVIDUAL Ly PNT"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""6028672690"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""ly.pham1@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:47.011032 +00:00,2025-01-05 04:03:47.011053 +00:00,Y
1919,8de8fb7db73d26c73bbc1fc0e3e63e16,N200,1,0,,,g*,,g*,,,,,,quynh.bui@ntq-solution.com.vn,6025***896,,,,quy******@ntq-solution.com.vn,,,,"{""id"":""1919"",""syncToken"":""0"",""metaData"":{""createdByRef"":null,""createTime"":""2025-01-05T04:03:48.000+00:00"",""lastModifiedByRef"":null,""lastUpdatedTime"":""2025-01-05T04:03:48.000+00:00"",""lastChangedInQB"":null,""_synchronized"":null,""synchronized"":null},""customField"":[],""attachableRef"":[],""domain"":""QBO"",""status"":null,""sparse"":false,""intuitId"":null,""organization"":null,""title"":""INDIVIDUAL"",""givenName"":""g*"",""middleName"":null,""familyName"":""g*"",""suffix"":null,""fullyQualifiedName"":""8de8fb7db73d26c73bbc1fc0e3e63e16"",""companyName"":null,""displayName"":""8de8fb7db73d26c73bbc1fc0e3e63e16"",""printOnCheckName"":""INDIVIDUAL g* g*"",""userId"":null,""active"":true,""v4IDPseudonym"":null,""primaryPhone"":{""id"":null,""deviceType"":null,""countryCode"":null,""areaCode"":null,""exchangeCode"":null,""extension"":null,""freeFormNumber"":""6025***896"",""_default"":null,""tag"":null,""default"":null},""alternatePhone"":null,""mobile"":null,""fax"":null,""primaryEmailAddr"":{""id"":null,""address"":""quy******@ntq-solution.com.vn"",""_default"":null,""tag"":null,""default"":null},""webAddr"":null,""otherContactInfo"":[],""defaultTaxCodeRef"":null,""taxable"":true,""billAddr"":null,""shipAddr"":null,""otherAddr"":[],""contactName"":null,""altContactName"":null,""notes"":""ACTIVE"",""job"":false,""billWithParent"":false,""rootCustomerRef"":null,""parentRef"":null,""level"":null,""customerTypeRef"":null,""salesTermRef"":null,""salesRepRef"":null,""taxGroupCodeRef"":null,""taxRateRef"":null,""paymentMethodRef"":null,""ccDetail"":null,""priceLevelRef"":null,""balance"":0.00,""openBalanceDate"":null,""balanceWithJobs"":0.00,""creditLimit"":null,""acctNum"":null,""currencyRef"":{""value"":""USD"",""name"":""United States Dollar"",""type"":null},""overDueBalance"":null,""totalRevenue"":null,""totalExpense"":null,""preferredDeliveryMethod"":""Print"",""resaleNum"":null,""jobInfo"":null,""tdsEnabled"":null,""customerEx"":null,""secondaryTaxIdentifier"":null,""arAccountRef"":null,""primaryTaxIdentifier"":null,""taxExemptionReasonId"":null,""isProject"":false,""businessNumber"":null,""gstin"":null,""gstRegistrationType"":null,""isCISContractor"":null,""clientCompanyId"":null,""clientEntityId"":null,""source"":null,""taxRegime"":null,""ccdetail"":null,""tdsenabled"":null,""araccountRef"":null,""gstregistrationType"":null}",2025-01-05 04:03:48.191349 +00:00,2025-01-05 04:03:48.191353 +00:00,Y
